type,data
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
heading_h5,How to get to Chin Swee Cave Temple
paragraph,"The gondola leaves from the Awana car park, every day from 7 AM until midnight. Thrillseekers can choose to travel in the glass-bottomed gondola for the price of RM 50 per person. The normal gondola costs a much cheaper RM8 per person."
heading_h4,Where to Stay in the Cameron Highlands
paragraph,"The 3 main towns that make up the Cameron Highlands are Tanah Rata, Brinchang, and Ringlet. A variety of low-range- mid-range accommodation is available in each of the three."
paragraph,"Choose your location based on the sights you would most like to see. For example, Ringlet is closest to the BOH tea plantation, whereas most of the waterfalls are situated closer to Tanah Rata."
heading_h5,Our favorite hotels in Cameron Highlands 😴
link,"{'text': 'View all', 'url': 'https://www.saltinourhair.com/go/cameron-all/'}"
link,"{'text': 'Cameron Highlands ResortCameron Highlands', 'url': 'https://www.saltinourhair.com/go/cameron-highlands-resort/'}"
link,"{'text': 'The LakehouseCameron Highlands', 'url': 'https://www.saltinourhair.com/go/lakehouse-cameron-highlands/'}"
link,"{'text': 'HeahtitudeCameron Highlands', 'url': 'https://www.saltinourhair.com/go/heahtitude-cameron-highlands/'}"
link,"{'text': 'See available hotels inCameron Highlands', 'url': 'https://www.saltinourhair.com/go/cameron-all/'}"
link,"{'text': 'Check available hotels', 'url': 'https://www.saltinourhair.com/go/cameron-all/'}"
link,"{'text': 'Check available hostels', 'url': 'https://www.saltinourhair.com/go/cameron-highlands-hostels/'}"
paragraph,"The true Cameron Highlands experience can be found at the Cameron Highlands Resort, a colonial-style mansion with beautiful interiors in keeping with the history of the area."
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123417/geting-highlands-skyway-540x810.jpg', 'alt': 'genting highlands skyway'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123417/geting-highlands-skyway-540x810.jpg', 'alt': 'genting highlands skyway'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123414/malaysia-genting-highlands-cablecar-540x810.jpg', 'alt': 'malaysia genting highlands cablecar'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123414/malaysia-genting-highlands-cablecar-540x810.jpg', 'alt': 'malaysia genting highlands cablecar'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
heading_h3,Day 7: Ipoh – An undiscovered Malaysia travel spot
paragraph,"Go off the beaten path and visit Georgetown’s little brother, Ipoh. Wander down the colonial streets of Ipoh old town, where art and street food dominate the scene. Follow this with a visit to one of the temples carved into the limestone."
paragraph,Read more: Ipoh – Things to do
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123743/ipoh-malaysia-umbrella-street-540x810.jpg', 'alt': 'ipoh malaysia umbrella street'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123743/ipoh-malaysia-umbrella-street-540x810.jpg', 'alt': 'ipoh malaysia umbrella street'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123653/best-things-to-do-ipoh-malaysia-mirror-lake-648x810.jpg', 'alt': 'best things to do ipoh malaysia mirror lake'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123653/best-things-to-do-ipoh-malaysia-mirror-lake-648x810.jpg', 'alt': 'best things to do ipoh malaysia mirror lake'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
paragraph,Cameron Highlands to IpohFrom Cameron Highlands to Ipoh takes 2 hours. Take the bus or car to Ipoh in the afternoon of day 6 so you have the 7th day to explore the highlights of Ipoh.
paragraph,Get your bus tickets in advance
heading_h4,Where to Stay in Ipoh
paragraph,"There is a diverse range of budget hostels to luxury resorts within Ipoh, set within the town’s bustling center or set amongst the serene nature."
heading_h3,Our favorite hotels in Ipoh 😴
link,"{'text': 'View all', 'url': 'https://www.saltinourhair.com/go/ipoh-all/'}"
link,"{'text': 'M Boutique IpohIpoh', 'url': 'https://www.saltinourhair.com/go/m-boutique-ipoh/'}"
link,"{'text': 'The TudorIpoh', 'url': 'https://www.saltinourhair.com/go/the-tudor-ipoh/'}"
link,"{'text': 'Brownstone HostelIpoh', 'url': 'https://www.saltinourhair.com/go/brownstone-ipoh/'}"
link,"{'text': 'See available hotels inIpoh', 'url': 'https://www.saltinourhair.com/go/ipoh-all/'}"
link,"{'text': 'Check available hotels', 'url': 'https://www.saltinourhair.com/go/ipoh-all/'}"
link,"{'text': 'Check available hostels', 'url': 'https://www.saltinourhair.com/go/hostels-ipoh/'}"
paragraph,"As a recommended stay in Ipoh is around 2 days, it’s best to situate yourself in one of the many good quality guest houses within the old town as a base to explore."
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123645/ipoh-malaysia-Sam-Poh-Tong-Cave-Temple.jpg', 'alt': 'ipoh malaysia Sam Poh Tong Cave Temple'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123645/ipoh-malaysia-Sam-Poh-Tong-Cave-Temple.jpg', 'alt': 'ipoh malaysia Sam Poh Tong Cave Temple'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
heading_h3,"Day 8 – 10: Georgetown, Penang"
paragraph,"Georgetown is a beautiful city located on Penang, an island just off the coast of Malaysia. World-famous for its street art trail, it has rightly become one of the must-visit places in Malaysia."
paragraph,"Take to the streets for incredible murals, beautiful temples, and a mouth-watering street food scene! And when you’re done with the city, visit some of the small white-sand beaches or the national park."
paragraph,"Everything about Georgetown, Penang"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124519/things-to-do-penang-georgetown-street-art-540x810.jpg', 'alt': 'things to do penang georgetown street art'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124519/things-to-do-penang-georgetown-street-art-540x810.jpg', 'alt': 'things to do penang georgetown street art'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124421/georgetown-penang-malaysia-street-food-552x810.jpg', 'alt': 'georgetown penang malaysia street food'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124421/georgetown-penang-malaysia-street-food-552x810.jpg', 'alt': 'georgetown penang malaysia street food'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124246/transport-georgetown-penang-malaysia-1080x721.jpg', 'alt': 'transport georgetown penang malaysia'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124246/transport-georgetown-penang-malaysia-1080x721.jpg', 'alt': 'transport georgetown penang malaysia'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
paragraph,"Ipoh to GeorgetownTo get from Ipoh to Georgetown, you can take a direct bus to the center of town. The island is connected to the mainland by a bridge, so there is no need to catch a boat."
paragraph,Get your bus tickets
paragraph,"Alternatively, go for a more fun experience by taking a 2-hour train to Butterworth and catching the ferry to Penang from there."
heading_h4,Where to Stay in Georgetown
paragraph,A hotel or guesthouse in Georgetown is best to find within the old town if you’d like to be close to all the top things to do.
heading_h5,Our favorite hotels in Georgetown 😴
link,"{'text': 'View all', 'url': 'https://www.saltinourhair.com/go/georgetown-all/'}"
link,"{'text': 'Hotel Cheong Fatt TzeGeorgetown', 'url': 'https://www.saltinourhair.com/go/hotel-cheong-fatt-tze/'}"
link,"{'text': 'Carnarvon HouseGeorgetown', 'url': 'https://www.saltinourhair.com/go/georgetown-carnarvon-house/'}"
link,"{'text': 'Vintage HouseGeorgetown', 'url': 'https://www.saltinourhair.com/go/vintage-house-penang/'}"
link,"{'text': 'See available hotels inGeorgetown', 'url': 'https://www.saltinourhair.com/go/georgetown-all/'}"
link,"{'text': 'Check available hotels', 'url': 'https://www.saltinourhair.com/go/georgetown-all/'}"
link,"{'text': 'Check available hostels', 'url': 'https://www.saltinourhair.com/go/penang-hostels/'}"
paragraph,Cheong Fatt Tze Mansion is a beautiful hotel to stay in and conveniently located within walking distance of the street art trail and other iconic sites.
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124427/things-to-do-penang-malaysia-Kek-Lok-Si-Temple.jpg', 'alt': 'things to do penang malaysia Kek Lok Si Temple'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23124427/things-to-do-penang-malaysia-Kek-Lok-Si-Temple.jpg', 'alt': 'things to do penang malaysia Kek Lok Si Temple'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
heading_h3,Day 11 – 14: Langkawi
paragraph,"The final part of your time in Malaysia is absolute paradise! Visit the 99 islands of the Langkawi archipelago. Discover stunning beaches, take boat trips amongst the limestone islands or through the mangrove, visit waterfalls, and take the world’s steepest cable car."
paragraph,Find out about all the things to do in Langkawi
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123342/things-to-do-langkawi-sunset-cruise-648x810.jpg', 'alt': 'things to do langkawi sunset cruise'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123342/things-to-do-langkawi-sunset-cruise-648x810.jpg', 'alt': 'things to do langkawi sunset cruise'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123331/langkawi-steepest-cable-car-540x810.jpg', 'alt': 'langkawi steepest cable car'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123331/langkawi-steepest-cable-car-540x810.jpg', 'alt': 'langkawi steepest cable car'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123306/langkawi-island-malaysia.jpg', 'alt': 'langkawi island malaysia'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123306/langkawi-island-malaysia.jpg', 'alt': 'langkawi island malaysia'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
paragraph,"Georgetown to LangkawiBefore, there used to be a super-fast ferry between Penang Island and Langkawi. However, nowadays, the only way to get there is to hop on a quick plane ride to the archipelago."
heading_h4,Where to Stay in Langkawi
paragraph,Langkawi is a large island and offers many options for accommodation.
heading_h5,Our favorite hotels in Langkawi 😴
link,"{'text': 'View all', 'url': 'https://www.saltinourhair.com/go/langkawi-all/'}"
link,"{'text': 'Cloud 9 HotelLangkawi', 'url': 'https://www.saltinourhair.com/go/langkawi-hotel-cloud9/'}"
link,"{'text': 'Looma Private Pool VillasLangkawi', 'url': 'https://www.saltinourhair.com/go/looma-villas-langkawi/'}"
link,"{'text': 'Red Coral CottageLangkawi', 'url': 'https://www.saltinourhair.com/go/langkawi-red-coral/'}"
link,"{'text': 'See available hotels inLangkawi', 'url': 'https://www.saltinourhair.com/go/langkawi-all/'}"
link,"{'text': 'Check available hotels', 'url': 'https://www.saltinourhair.com/go/langkawi-all/'}"
link,"{'text': 'Check available hostels', 'url': 'https://www.saltinourhair.com/go/langkawi-hostels/'}"
paragraph,Stay close to Cenang Beach so you’re close to all the restaurants or at the north coast to have a more secluded experience away from the crowd.
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123301/langkawi-seven-wells-pools-540x810.jpg', 'alt': 'langkawi seven wells pools'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123301/langkawi-seven-wells-pools-540x810.jpg', 'alt': 'langkawi seven wells pools'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123355/Langkawi-Mangrove-tour-540x810.jpg', 'alt': 'Langkawi Mangrove tour'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123355/Langkawi-Mangrove-tour-540x810.jpg', 'alt': 'Langkawi Mangrove tour'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123402/Langkawi-malaysia-Pantai-Cenang-Beach.jpg', 'alt': 'things to do Langkawi malaysia Pantai Cenang Beach'}"
image,"{'src': 'https://static.saltinourhair.com/wp-content/uploads/2020/01/23123402/Langkawi-malaysia-Pantai-Cenang-Beach.jpg', 'alt': 'things to do Langkawi malaysia Pantai Cenang Beach'}"
link,"{'text': 'https://www.pinterest.com', 'url': 'https://www.pinterest.com'}"
heading_h3,Alternative Malaysia route options
paragraph,Is your time in Malaysia limited? Remove Ipoh and/or Malacca from the itinerary to cut down your trip to 10 days.
heading_h2,Costs of traveling in Malaysia
paragraph,"Traveling around Malaysia is, in general, very affordable. The price depends largely on your choice of accommodation, transport, and tours. Expect to travel on a budget of 15 – 30 USD per person and 35 – 75 USD for a bit more comfort."
heading_h3,Costs of Traveling in Malaysia
paragraph,"Travel on a budget in Malaysia, from $180 − $320 USD weekly per person, mid-range $530 − $1650 USD, and high-end from $1650 − $2550 USD. However, costs depend on factors like accommodation, transportation, and activities. We did not include flights. Check flight prices here"
list_item,Hotels: $30 − $200 USDCheck available hotels
list_item,Hostels: $7 − $20 USDCheck available hostels
list_item,Transport: $5 − $15 USDBook public transport
list_item,Car Rental: $50 − $100 USDBook a rental car
list_item,Food: $5 − $20 USD
list_item,Activities: $5 − $35 USDSee tickets & tours
list_item,Sim: $1 − $3 USDGet an eSIM. Use SALT5 for 5% off
list_item,Travel Insurance: $2 − $6 USDGet Travel Insurance
